______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1053: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch:   0/736: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch:  25/736: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch:  50/736: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch:  75/736: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 100/736: Loss: 0.16 | Accuracy: 0.88
[Training] Itteration/Batch: 125/736: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 150/736: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 175/736: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 200/736: Loss: 0.18 | Accuracy: 0.88
[Training] Itteration/Batch: 225/736: Loss: 0.08 | Accuracy: 0.94
[Training] Itteration/Batch: 250/736: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 275/736: Loss: 0.09 | Accuracy: 0.94
[Training] Itteration/Batch: 300/736: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 325/736: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 350/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 375/736: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 400/736: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 425/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 450/736: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 475/736: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 500/736: Loss: 0.08 | Accuracy: 0.94
[Training] Itteration/Batch: 525/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 550/736: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 575/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 600/736: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 625/736: Loss: 0.72 | Accuracy: 0.88
[Training] Itteration/Batch: 650/736: Loss: 0.46 | Accuracy: 0.94
[Training] Itteration/Batch: 675/736: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 700/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 725/736: Loss: 0.09 | Accuracy: 0.94

Epoch 3: Val Bin. F1 Majority 0.2549999952316284 | Val Macro F1 Majority 0.6141857296041462 |             Val Bin F1 Individual 0.2527098059654236 | Val Macro F1 Individual 0.6103978135856244 |             Val Accuracy Majority 0.948580801486969 | Val Accuracy Individual 0.9387858510017395 | Training Loss:0.10032082349061966 |             Val Loss 0.37360647320747375 | Train Runtime Millis 46176.783547969535 | Val Runtime Millis 20835.33540298231

______________________________	 Running Epoch 4 of 10 	______________________________
[Training] Itteration/Batch:   0/736: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch:  25/736: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch:  50/736: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch:  75/736: Loss: 0.39 | Accuracy: 0.94
[Training] Itteration/Batch: 100/736: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 125/736: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 150/736: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 175/736: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 200/736: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 225/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 250/736: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 275/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 300/736: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 325/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 350/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 375/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 400/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 425/736: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 450/736: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 475/736: Loss: 0.08 | Accuracy: 0.94
[Training] Itteration/Batch: 500/736: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 525/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 550/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 575/736: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 600/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 625/736: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 650/736: Loss: 0.21 | Accuracy: 0.88
[Training] Itteration/Batch: 675/736: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 700/736: Loss: 0.01 | Accuracy: 1.00
[Training] Itteration/Batch: 725/736: Loss: 0.02 | Accuracy: 1.00

Epoch 4: Val Bin. F1 Majority 0.3855421543121338 | Val Macro F1 Majority 0.6883071893701721 |             Val Bin F1 Individual 0.2636248469352722 | Val Macro F1 Individual 0.6242923586579249 |             Val Accuracy Majority 0.982400119304657 | Val Accuracy Individual 0.9705218076705933 | Training Loss:0.07979933172464371 |             Val Loss 0.5895834565162659 | Train Runtime Millis 46216.81742486544 | Val Runtime Millis 20866.614315193146

______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/1431: Loss: 0.78 | Accuracy: 0.00
[Training] Itteration/Batch:  25/1431: Loss: 0.46 | Accuracy: 0.75
[Training] Itteration/Batch:  50/1431: Loss: 0.75 | Accuracy: 0.94
[Training] Itteration/Batch:  75/1431: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 100/1431: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 125/1431: Loss: 0.74 | Accuracy: 0.94
[Training] Itteration/Batch: 150/1431: Loss: 0.29 | Accuracy: 1.00
[Training] Itteration/Batch: 175/1431: Loss: 1.19 | Accuracy: 0.88
[Training] Itteration/Batch: 200/1431: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 225/1431: Loss: 0.85 | Accuracy: 0.94
[Training] Itteration/Batch: 250/1431: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 275/1431: Loss: 0.99 | Accuracy: 0.94
[Training] Itteration/Batch: 300/1431: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1431: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 350/1431: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 375/1431: Loss: 1.26 | Accuracy: 0.88
[Training] Itteration/Batch: 400/1431: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 425/1431: Loss: 0.31 | Accuracy: 1.00
[Training] Itteration/Batch: 450/1431: Loss: 1.88 | Accuracy: 0.88
[Training] Itteration/Batch: 475/1431: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 500/1431: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 525/1431: Loss: 1.13 | Accuracy: 0.94
[Training] Itteration/Batch: 550/1431: Loss: 0.36 | Accuracy: 1.00
[Training] Itteration/Batch: 575/1431: Loss: 0.61 | Accuracy: 0.88
[Training] Itteration/Batch: 600/1431: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 625/1431: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 650/1431: Loss: 0.42 | Accuracy: 0.88
[Training] Itteration/Batch: 675/1431: Loss: 0.35 | Accuracy: 0.94
[Training] Itteration/Batch: 700/1431: Loss: 0.62 | Accuracy: 0.88
[Training] Itteration/Batch: 725/1431: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 750/1431: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 775/1431: Loss: 0.30 | Accuracy: 0.94
[Training] Itteration/Batch: 800/1431: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 825/1431: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 850/1431: Loss: 0.26 | Accuracy: 0.94
[Training] Itteration/Batch: 875/1431: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 900/1431: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 925/1431: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 950/1431: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 975/1431: Loss: 1.38 | Accuracy: 0.94
[Training] Itteration/Batch: 1000/1431: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/1431: Loss: 0.45 | Accuracy: 0.81
[Training] Itteration/Batch: 1050/1431: Loss: 0.30 | Accuracy: 0.88
[Training] Itteration/Batch: 1075/1431: Loss: 0.45 | Accuracy: 0.75
[Training] Itteration/Batch: 1100/1431: Loss: 0.31 | Accuracy: 0.94
[Training] Itteration/Batch: 1125/1431: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 1150/1431: Loss: 0.47 | Accuracy: 0.81
[Training] Itteration/Batch: 1175/1431: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 1200/1431: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 1225/1431: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/1431: Loss: 0.25 | Accuracy: 0.94
[Training] Itteration/Batch: 1275/1431: Loss: 1.27 | Accuracy: 0.81
[Training] Itteration/Batch: 1300/1431: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 1325/1431: Loss: 0.15 | Accuracy: 0.94
[Training] Itteration/Batch: 1350/1431: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 1375/1431: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 1400/1431: Loss: 1.14 | Accuracy: 0.88
[Training] Itteration/Batch: 1425/1431: Loss: 0.13 | Accuracy: 1.00

Epoch 1: Val Bin. F1 Majority 0.31536388397216797 | Val Macro F1 Majority 0.6442470523055902 |             Val Bin F1 Individual 0.30392158031463623 | Val Macro F1 Individual 0.6392746616216469 |             Val Accuracy Majority 0.9482899308204651 | Val Accuracy Individual 0.9510400891304016 | Training Loss:0.4206095039844513 |             Val Loss 0.35965806245803833 | Train Runtime Millis 86363.11460100114 | Val Runtime Millis 16158.975086873397

______________________________	 Running Epoch 2 of 10 	______________________________
[Training] Itteration/Batch:   0/1431: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch:  25/1431: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch:  50/1431: Loss: 0.27 | Accuracy: 0.94
[Training] Itteration/Batch:  75/1431: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 100/1431: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 125/1431: Loss: 0.76 | Accuracy: 0.88
[Training] Itteration/Batch: 150/1431: Loss: 0.24 | Accuracy: 0.81
[Training] Itteration/Batch: 175/1431: Loss: 1.97 | Accuracy: 0.88
[Training] Itteration/Batch: 200/1431: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 225/1431: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 250/1431: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 275/1431: Loss: 0.24 | Accuracy: 0.88
[Training] Itteration/Batch: 300/1431: Loss: 0.17 | Accuracy: 0.88
[Training] Itteration/Batch: 325/1431: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 350/1431: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 375/1431: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1431: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 425/1431: Loss: 0.35 | Accuracy: 0.75
[Training] Itteration/Batch: 450/1431: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 475/1431: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 500/1431: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 525/1431: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 550/1431: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 575/1431: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 600/1431: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 625/1431: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 650/1431: Loss: 0.19 | Accuracy: 0.94
[Training] Itteration/Batch: 675/1431: Loss: 0.18 | Accuracy: 0.88
[Training] Itteration/Batch: 700/1431: Loss: 1.95 | Accuracy: 0.81
[Training] Itteration/Batch: 725/1431: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 750/1431: Loss: 1.72 | Accuracy: 0.94
[Training] Itteration/Batch: 775/1431: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 800/1431: Loss: 0.22 | Accuracy: 0.94
[Training] Itteration/Batch: 825/1431: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 850/1431: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 875/1431: Loss: 0.33 | Accuracy: 0.81
[Training] Itteration/Batch: 900/1431: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 925/1431: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 950/1431: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 975/1431: Loss: 0.40 | Accuracy: 0.88
[Training] Itteration/Batch: 1000/1431: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 1025/1431: Loss: 1.08 | Accuracy: 0.81
[Training] Itteration/Batch: 1050/1431: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/1431: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 1100/1431: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 1125/1431: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/1431: Loss: 0.09 | Accuracy: 0.94
[Training] Itteration/Batch: 1175/1431: Loss: 0.33 | Accuracy: 0.81
[Training] Itteration/Batch: 1200/1431: Loss: 1.20 | Accuracy: 0.88
[Training] Itteration/Batch: 1225/1431: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/1431: Loss: 0.34 | Accuracy: 0.94
[Training] Itteration/Batch: 1275/1431: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 1300/1431: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 1325/1431: Loss: 0.44 | Accuracy: 0.94
[Training] Itteration/Batch: 1350/1431: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 1375/1431: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 1400/1431: Loss: 0.51 | Accuracy: 0.88
[Training] Itteration/Batch: 1425/1431: Loss: 0.11 | Accuracy: 1.00

Epoch 2: Val Bin. F1 Majority 0.3012048304080963 | Val Macro F1 Majority 0.6286398433721905 |             Val Bin F1 Individual 0.2668711543083191 | Val Macro F1 Individual 0.6116077698654371 |             Val Accuracy Majority 0.9173452854156494 | Val Accuracy Individual 0.9175956845283508 | Training Loss:0.28035110235214233 |             Val Loss 0.36195725202560425 | Train Runtime Millis 86316.35668687522 | Val Runtime Millis 16254.38047409989

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/1431: Loss: 0.82 | Accuracy: 0.88
[Training] Itteration/Batch:  25/1431: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch:  50/1431: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch:  75/1431: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 100/1431: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 125/1431: Loss: 0.33 | Accuracy: 0.81
[Training] Itteration/Batch: 150/1431: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 175/1431: Loss: 0.09 | Accuracy: 0.94
[Training] Itteration/Batch: 200/1431: Loss: 0.21 | Accuracy: 0.94
[Training] Itteration/Batch: 225/1431: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 250/1431: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 275/1431: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 300/1431: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 325/1431: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 350/1431: Loss: 0.22 | Accuracy: 0.88
[Training] Itteration/Batch: 375/1431: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 400/1431: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 425/1431: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 450/1431: Loss: 1.00 | Accuracy: 0.94
[Training] Itteration/Batch: 475/1431: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 500/1431: Loss: 0.16 | Accuracy: 0.94
[Training] Itteration/Batch: 525/1431: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 550/1431: Loss: 0.20 | Accuracy: 0.94
[Training] Itteration/Batch: 575/1431: Loss: 1.71 | Accuracy: 0.88
[Training] Itteration/Batch: 600/1431: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 625/1431: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 650/1431: Loss: 0.22 | Accuracy: 0.88
[Training] Itteration/Batch: 675/1431: Loss: 0.05 | Accuracy: 1.00
[Training] Itteration/Batch: 700/1431: Loss: 0.17 | Accuracy: 0.94
[Training] Itteration/Batch: 725/1431: Loss: 0.12 | Accuracy: 0.94
[Training] Itteration/Batch: 750/1431: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 775/1431: Loss: 0.11 | Accuracy: 0.94
[Training] Itteration/Batch: 800/1431: Loss: 0.08 | Accuracy: 0.94
[Training] Itteration/Batch: 825/1431: Loss: 0.38 | Accuracy: 0.88
[Training] Itteration/Batch: 850/1431: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 875/1431: Loss: 0.22 | Accuracy: 0.94
[Training] Itteration/Batch: 900/1431: Loss: 0.26 | Accuracy: 0.94
[Training] Itteration/Batch: 925/1431: Loss: 0.07 | Accuracy: 0.94
[Training] Itteration/Batch: 950/1431: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 975/1431: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 1000/1431: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 1025/1431: Loss: 0.22 | Accuracy: 0.94
[Training] Itteration/Batch: 1050/1431: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/1431: Loss: 0.07 | Accuracy: 1.00
[Training] Itteration/Batch: 1100/1431: Loss: 0.19 | Accuracy: 0.88
[Training] Itteration/Batch: 1125/1431: Loss: 0.04 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/1431: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 1175/1431: Loss: 0.02 | Accuracy: 1.00
[Training] Itteration/Batch: 1200/1431: Loss: 0.10 | Accuracy: 0.94
[Training] Itteration/Batch: 1225/1431: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/1431: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 1275/1431: Loss: 0.03 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/1431: Loss: 0.14 | Accuracy: 0.94
[Training] Itteration/Batch: 1325/1431: Loss: 0.18 | Accuracy: 0.94
[Training] Itteration/Batch: 1350/1431: Loss: 0.13 | Accuracy: 0.94
[Training] Itteration/Batch: 1375/1431: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 1400/1431: Loss: 0.07 | Accuracy: 0.94
[Training] Itteration/Batch: 1425/1431: Loss: 0.17 | Accuracy: 1.00

Epoch 3: Val Bin. F1 Majority 0.30694979429244995 | Val Macro F1 Majority 0.6341862724841448 |             Val Bin F1 Individual 0.27774617075920105 | Val Macro F1 Individual 0.6196731517359617 |             Val Accuracy Majority 0.9269136786460876 | Val Accuracy Individual 0.9270773530006409 | Training Loss:0.20019283890724182 |             Val Loss 0.42791375517845154 | Train Runtime Millis 86477.12744097225 | Val Runtime Millis 16243.02987405099

______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/831: Loss: 1.30 | Accuracy: 0.06
[Training] Itteration/Batch:  25/831: Loss: 0.60 | Accuracy: 0.12
[Training] Itteration/Batch:  50/831: Loss: 0.44 | Accuracy: 1.00
[Training] Itteration/Batch:  75/831: Loss: 4.63 | Accuracy: 0.81
[Training] Itteration/Batch: 100/831: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch: 125/831: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 150/831: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 175/831: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 200/831: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 225/831: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 250/831: Loss: 1.42 | Accuracy: 0.94
[Training] Itteration/Batch: 275/831: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 300/831: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 325/831: Loss: 2.03 | Accuracy: 0.94
[Training] Itteration/Batch: 350/831: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 375/831: Loss: 1.17 | Accuracy: 0.94
[Training] Itteration/Batch: 400/831: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 425/831: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 450/831: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 475/831: Loss: 0.08 | Accuracy: 1.00
[Training] Itteration/Batch: 500/831: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 525/831: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 550/831: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 575/831: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 600/831: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 625/831: Loss: 0.97 | Accuracy: 0.94
[Training] Itteration/Batch: 650/831: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 675/831: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 700/831: Loss: 0.75 | Accuracy: 0.94
[Training] Itteration/Batch: 725/831: Loss: 0.06 | Accuracy: 1.00
[Training] Itteration/Batch: 750/831: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 775/831: Loss: 0.24 | Accuracy: 1.00
